tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8800040'. Expected 'lv.s        S000, 0x40($a0)', got 'lv.s        0x0, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8810040'. Expected 'lv.s        S010, 0x40($a0)', got 'lv.s        0x1, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8820040'. Expected 'lv.s        S020, 0x40($a0)', got 'lv.s        0x2, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8830040'. Expected 'lv.s        S030, 0x40($a0)', got 'lv.s        0x3, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8840040'. Expected 'lv.s        S100, 0x40($a0)', got 'lv.s        0x4, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8850040'. Expected 'lv.s        S110, 0x40($a0)', got 'lv.s        0x5, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8860040'. Expected 'lv.s        S120, 0x40($a0)', got 'lv.s        0x6, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8870040'. Expected 'lv.s        S130, 0x40($a0)', got 'lv.s        0x7, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8880040'. Expected 'lv.s        S200, 0x40($a0)', got 'lv.s        0x8, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8890040'. Expected 'lv.s        S210, 0x40($a0)', got 'lv.s        0x9, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88A0040'. Expected 'lv.s        S220, 0x40($a0)', got 'lv.s        0xA, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88B0040'. Expected 'lv.s        S230, 0x40($a0)', got 'lv.s        0xB, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88C0040'. Expected 'lv.s        S300, 0x40($a0)', got 'lv.s        0xC, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88D0040'. Expected 'lv.s        S310, 0x40($a0)', got 'lv.s        0xD, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88E0040'. Expected 'lv.s        S320, 0x40($a0)', got 'lv.s        0xE, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88F0040'. Expected 'lv.s        S330, 0x40($a0)', got 'lv.s        0xF, 0x40($a0)'
